Matas,Mataitis
1999
Kaunas
M,Endless Love,1981,Romantic drama,Universal Pictures,Franco Zeffirelli,Brooke Shields,Martin Hewitt,32492674
M,Taps,1981,Drama,20th Century Fox,Harold Becker,George C. Scott,Timothy Hutton,35003235
M,The Outsiders,1983,Drama,Warner Bros.,Francis Ford Coppola,C. Thomas Howell,Ralph Macchio,25700000
M,Losin' It,1983,Comedy,Embassy Pictures Corporation,Curtis Hanson,Tom Cruise,Shelley Long,1246141
M,Raising Arizona,1987,Comedy,20th Century Fox,Joel Coen,Nicolas Cage,Holly Hunter,29180280
M,Days of Thunder,1990,Racing,Paramount Pictures,Tony Scott,Tom Cruise,Nicole Kidman,157920733
M,Far and Away,1992,Romantic adventure drama,Universal Pictures,Ron Howard,Tom Cruise,Nicole Kidman,137800000
M,Honeymoon in Vegas,1992,Comedy,Columbia Pictures,Andrew Bergman,James Caan,Nicolas Cage,35208854
M,Interview with the Vampire,1994,Drama horror,Warner Bros.,Neil Jordan,Tom Cruise,Brad Pitt,223700000
M,Batman Forever,1995,Superhero,Warner Bros.,Joel Schumacher,Val Kilmer,Tommy Lee Jones,336500000
M,Mission: Impossible,1996,Action,Paramount Pictures,Brian De Palma,Tom Cruise,Jon Voight,457700000
M,The Portrait of a Lady,1996,Drama,Gramercy Pictures,Jane Campion,Nicole Kidman,Barbara Hershey,3700000
M,Titanic,1997,Epic romantic disaster film,20th Century Fox,James Cameron,Leonardo Dicaprio,Kate Winslet,2178
M,Practical Magic,1998,Romantic comedy,Warner Bros.,Griffin Dunne,Sandra Bullock,Nicole Kidman,68336997
M,City of Angels,1998,Romantic fantasy drama,Warner Bros.,Brad Silberling,Nicolas Cage,Meg Ryan,198685114
M,Snake Eyes,1998,Conspiracy thriller,Paramount Pictures,Brian De Palma,Nicolas Cage,Gary Sinise,103891409
M,Eyes Wide Shut,1999,Erotic thriller,Warner Bros.,Stanley Kubrick,Nicole Kidman,Tom Cruise,162100000
M,Magnolia,1999,Drama,New Line Cinema,Paul Thomas Anderson,Jeremy Blackman,Tom Cruise,48500000
M,Gone in Sixty Seconds,2000,Action,Buena Vista Pictures,Dominic Sena,Nicolas Cage,Angelina Jolie,237200000
M,The Others,2001,Horror,Miramax Films,Alejandro Amenabar,Nicole Kidman,Alakina Mann,209947037
M,Vanilla Sky,2001,Psychological thriller,Paramount Pictures,Cameron Crowe,Tom Cruise,Penelope Cruz,203400000
S,Moulin Rouge,2010,Musical,20th Century Fox,2015,Nicole Kidman,Ewan McGregor,15,baigesi
S,The Hours,2011,Drama,Paramount Pictures,2017,Nicole Kidman,Stephen Dillane,13,baigesi
S,The Stepford Wives,2012,Sci-fi drama comedy,Paramount Pictures,2017,Nicole Kidman,Matthew Broderick,9,baigesi
S,Australia,2005,Romantic drama,20th Century Fox,2010,Nicole Kidman,Hugh Jackman,25,baigesi
S,Avatar,2003,Epic Sci-Fi,20th Century Fox,2009,Sam Worthington,Stephen Lung,15,baigesi
S,Mission: Impossible Ghost Protocol,1999,Action,Paramount Pictures,-,Tom Cruise,Jeremy Renner,35,tesiasi
S,Blended,2006,Romantic comedy,Warner Bros. Pictures,-,Adam Sandler,Drew Barrymore,33,tesiasi
S,Maleficent,2003,Dark fantasy,Walt Disney Pictures,-,Angelina Jolie,Elle Fanning,29,tesiasi
S,The imitation game,2004,Historical drama thriller,Morten Tyldum,-,Benedict Bumberbatch,Keira Knightley,45,tesiasi
S,Inside out,2000,Comedy,Walt Disney Studios Motion Picture,-,Amy Poehler,Bill Hader,19,tesiasi
